"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"12870","Município","Niterói","3303302","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001832/2014-08","2016-03-16T03:00:00Z","Operação contratual externa (com garantia da União)","Desenvolvimento sustentável","Instituição Financeira Internacional","Corporação Andina de Fomento","Dólar dos EUA","100000000","0","0","28/03/2016","","","","","",""
"44855","Município","Vassouras","3306206","RJ","PVL02.000266/2021-75","Arquivado a pedido","17944.101820/2021-01","2022-06-30T14:54:11Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","20000000","0","0","21/07/2022","","","","","",""
"5054","Município","Duque de Caxias","3301702","RJ","null","Deferido","17944.000031/2008-79","2008-03-27T03:00:00Z","Operação contratual interna","PAC - Pró-Moradia - 2008","Instituição Financeira Nacional","Caixa Econômica Federal","Real","39900000","0","0","28/03/2008","","","","","",""
"42449","Município","Guapimirim","3301850","RJ","PVL02.001018/2020-61","Deferido (PVL-IF)","null","null","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Banco do Brasil S/A","Real","1300000","0","1","20/05/2020","","","","","",""
"10266","Município","Armação dos Búzios","3300233","RJ","null","Regularizado","17944.001158/2009-96","2010-04-12T03:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Ampla Energia e Serviços S/A","Real","1208046.51","0","0","10/05/2010","","","","","",""
"8454","Município","Petrópolis","3303906","RJ","null","Deferido","17944.000778/2014-75","2014-07-18T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","9215160","1","0","18/08/2014","","","","","",""
"10478","Município","Duque de Caxias","3301702","RJ","null","Regularizado","17944.001209/2012-85","2020-04-13T03:00:00Z","Operação contratual interna","Regularização de Dívida - Outros","Instituição Financeira Nacional","Banco do Brasil S/A","Real","149768343.08","0","0","29/05/2020","","","","","",""
"8839","Município","Porciúncula","3304102","RJ","null","Arquivado","17944.000850/2008-16","2008-09-01T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","145500","0","0","13/11/2008","","","","","",""
"34099","Município","Resende","3304201","RJ","PVL02.003090/2019-99","Deferido (PVL-IF)","null","null","Operação contratual interna","Aporte de capital","Instituição Financeira Nacional","Caixa Econômica Federal","Real","4500000","0","1","27/09/2019","","","","","",""
"9205","Município","Campos dos Goytacazes","3301009","RJ","null","Deferido","17944.000926/2013-71","2013-12-20T02:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","300000000","0","0","26/12/2013","","","","","",""
"12353","Município","Quatis","3304128","RJ","null","Arquivado","17944.001665/2008-49","2008-06-23T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Caixa Econômica Federal","Real","300000","0","0","03/07/2008","","","","","",""
"12521","Município","Nova Iguaçu","3303500","RJ","null","Deferido","17944.001705/2007-71","2008-03-24T03:00:00Z","Operação contratual interna","PAC - Pró-Moradia - 2008","Instituição Financeira Nacional","Caixa Econômica Federal","Real","142479534.83","1","0","27/03/2008","","","","","",""
"42476","Município","Nova Iguaçu","3303500","RJ","PVL02.001006/2020-36","Deferido","17944.101957/2020-77","2020-06-25T18:44:47Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","54000000","1","0","30/06/2020","","","","","",""
"61653","Município","Teresópolis","3305802","RJ","PVL02.007127/2022-53","Deferido","17944.103775/2022-01","2022-10-19T19:18:08Z","Operação contratual interna","Multissetorial","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","35000000","0","0","21/10/2022","","","","","",""
"13443","Município","Nova Iguaçu","3303500","RJ","null","Deferido","19405.000002/2002-44","2002-02-28T03:00:00Z","Operação contratual interna","PMAT","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","7168409","1","0","01/12/2002","","","","","",""
"50533","Município","Nova Iguaçu","3303500","RJ","PVL02.004441/2021-01","Deferido","17944.104359/2021-31","2021-12-02T22:42:03Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","100000000","0","0","13/12/2021","","","","","",""
